trp_multiplayer_profile_troop_male|ehhhhhhh wtf
trp_french_voltigeur_nco_pl|Unteroffizier
trp_french_voltigeur_officer|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_officer_pl|Offizier
trp_french_voltigeur_horn|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_horn_pl|Hornist
trp_french_hussar|2e Regiment de Hussards
trp_french_hussar_pl|Husar
trp_french_hussar_nco|2e Regiment de Hussards
trp_french_hussar_nco_pl|Unteroffizier
trp_french_hussar_officer|2e Regiment de Hussards
trp_french_hussar_officer_pl|Offizier
trp_french_hussar_trumpet|2e Regiment de Hussards
trp_french_hussar_trumpet_pl|Trompetenspieler
trp_french_lancer|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_pl|Lanzenreiter
trp_french_lancer_nco|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_nco_pl|Unteroffizier
trp_french_lancer_officer|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_officer_pl|Offizier
trp_french_lancer_trumpet|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_trumpet_pl|Trompetenspieler
trp_french_dragoon|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_pl|Dragoner
trp_french_dragoon_nco|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_nco_pl|Unteroffizier
trp_french_dragoon_officer|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_officer_pl|Offizier
trp_french_dragoon_trumpet|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_trumpet_pl|Trompetenspieler
trp_french_cuirassier|9eme Regiment de Kürassiere
trp_french_cuirassier_pl|Kürassier
trp_french_cuirassier_nco|Kürassiere
trp_french_cuirassier_nco_pl|Unteroffizier
trp_french_cuirassier_officer|Kürassiere
trp_french_cuirassier_officer_pl|Offizier
trp_french_cuirassier_trumpet|Kürassiere
trp_french_cuirassier_trumpet_pl|Trompetenspieler
trp_french_carabineer|1er Regiment de Carabiniers
trp_french_carabineer_pl|Karabinier
trp_french_carabineer_nco|Carabineers
trp_french_carabineer_nco_pl|Unteroffizier
trp_french_carabineer_officer|Carabineers
trp_french_carabineer_officer_pl|Offizier
trp_french_carabineer_trumpet|Carabineers
trp_french_carabineer_trumpet_pl|Trompetenspieler
trp_french_grenadier_a_cheval|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_pl|Schwere Kavallerie
trp_french_grenadier_a_cheval_nco|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_nco_pl|Unteroffizier
trp_french_grenadier_a_cheval_officer|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_officer_pl|Offizier
trp_french_grenadier_a_cheval_trumpet|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_trumpet_pl|Trompetenspieler
trp_french_arty|L'Artillerie
trp_french_arty_pl|Artillerie
trp_french_arty_guard|Artillery Guard
trp_french_arty_guard_pl|Artillery Guard
trp_french_arty_nco|L'Artillerie
trp_french_arty_nco_pl|Artillerie Zug
trp_french_arty_officer|L'Artillerie
trp_french_arty_officer_pl|Offizier
trp_french_medic|Medecin de 2e classe
trp_french_medic_pl|Surgeon
trp_french_sapper|Sappeur
trp_french_sapper_pl|Pionier
trp_french_ship|Schiffscrew
trp_french_ship_pl|Infanterie
trp_french_ship_cannon|Schiffscrew
trp_french_ship_cannon_pl|Schiff Artillerie
trp_french_ship_marine|Schiffscrew
trp_french_ship_marine_pl|Marine, 24e Bataillon des Equipages
trp_french_ship_captain|Schiffscrew
trp_french_ship_captain_pl|Capitaine de Vaisseau, Intrepide
trp_napoleon|L'Empereur Napoleon Bonaparte
trp_napoleon_pl|General
trp_prussian_infantry|8. Brandenburgische Infanterie-Regiment
trp_prussian_infantry_pl|Linieninfanterie
trp_prussian_infantry_nco|8. Infanterie Regiment
trp_prussian_infantry_nco_pl|Unteroffizier
trp_prussian_infantry_officer|8. Infanterie Regiment
trp_prussian_infantry_officer_pl|Offizier
trp_prussian_infantry_drum|8. Infanterie Regiment
trp_prussian_infantry_drum_pl|Trommler
trp_prussian_infantry_flute|8. Infanterie Regiment
trp_prussian_infantry_flute_pl|Flötenspieler
trp_prussian_infantry2|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_pl|Linieninfanterie
trp_prussian_infantry2_nco|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_nco_pl|Unteroffizier
trp_prussian_infantry2_officer|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_officer_pl|Offizier
trp_prussian_infantry2_drum|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_drum_pl|Trommler
trp_prussian_infantry2_flute|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_flute_pl|Flötenspieler
trp_prussian_infantry_kurmark|3. Kurmarkische Landwehr-Regiment
trp_prussian_infantry_kurmark_pl|Linieninfanterie
trp_prussian_infantry_kurmark_nco|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_nco_pl|Unteroffizier
trp_prussian_infantry_kurmark_officer|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_officer_pl|Offizier
trp_prussian_infantry_kurmark_drum|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_drum_pl|Trommler
trp_prussian_infantry_kurmark_flute|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_flute_pl|Flötenspieler
trp_prussian_infantry_freikorps|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_pl|Linieninfanterie
trp_prussian_infantry_freikorps_nco|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_nco_pl|Unteroffizier
trp_prussian_infantry_freikorps_officer|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_officer_pl|Offizier
trp_prussian_infantry_freikorps_drum|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_drum_pl|Trommler
trp_prussian_infantry_freikorps_flute|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_flute_pl|Flötenspieler
trp_prussian_infantry_15|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_pl|Garde zu Fuss
trp_prussian_infantry_15_nco|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_nco_pl|Unteroffizier
trp_prussian_infantry_15_officer|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_officer_pl|Offizier
trp_prussian_infantry_15_drum|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_drum_pl|Trommler
trp_prussian_infantry_15_flute|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_flute_pl|Flötenspieler
trp_prussian_infantry_rifle|Schlesische Schutzen
trp_prussian_infantry_rifle_pl|Jäger
trp_prussian_infantry_rifle_nco|Schlesische Jaeger
trp_prussian_infantry_rifle_nco_pl|Unteroffizier
trp_prussian_infantry_rifle_officer|Schlesische Jaeger
trp_prussian_infantry_rifle_officer_pl|Offizier
trp_prussian_infantry_rifle_horn|Schlesische Jaeger
trp_prussian_infantry_rifle_horn_pl|Hornist
trp_prussian_dragoon|6. Neumarkische Dragoner
trp_prussian_dragoon_pl|Dragoner
trp_prussian_dragoon_nco|6. Dragoner Regiment
trp_prussian_dragoon_nco_pl|Unteroffizier
trp_prussian_dragoon_officer|6. Dragoner Regiment
trp_prussian_dragoon_officer_pl|Offizier
trp_prussian_dragoon_trumpet|6. Dragoner Regiment
trp_prussian_dragoon_trumpet_pl|Trompetenspieler
trp_prussian_hussar|1. Leib-Husaren-Regiment (Totenkopfhusaren)
trp_prussian_hussar_pl|Husar
trp_prussian_hussar_nco|Death's Head Husar Regiment
trp_prussian_hussar_nco_pl|Unteroffizier
trp_prussian_hussar_officer|Death's Head Husar Regiment
trp_prussian_hussar_officer_pl|Offizier
trp_prussian_hussar_trumpet|Death's Head Husar Regiment
trp_prussian_hussar_trumpet_pl|Trompetenspieler
trp_prussian_landwehr_cav|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_pl|Lanzenreiter
trp_prussian_landwehr_cav_nco|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_nco_pl|Unteroffizier
trp_prussian_landwehr_cav_officer|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_officer_pl|Offizier
trp_prussian_landwehr_cav_trumpet|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_trumpet_pl|Trompetenspieler
trp_prussian_cuirassier|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_pl|Kürassiere
trp_prussian_cuirassier_nco|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_nco_pl|Unteroffizier
trp_prussian_cuirassier_officer|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_officer_pl|Offizier
trp_prussian_cuirassier_trumpet|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_trumpet_pl|Trompetenspieler
trp_prussian_arty|36. Regiment der Fussartillerie
trp_prussian_arty_pl|Artillerie
trp_prussian_arty_guard|Artillery Guard
trp_prussian_arty_guard_pl|Artillery Guard
trp_prussian_arty_nco|36. Regiment der Fussartillerie
trp_prussian_arty_nco_pl|Artillerie Zug
trp_prussian_arty_officer|36. Regiment der Fussartillerie
trp_prussian_arty_officer_pl|Offizier
trp_prussian_medic|Sanitaeter
trp_prussian_medic_pl|Surgeon
trp_prussian_sapper|4. Mansfelder Pionierskorps
trp_prussian_sapper_pl|Pionier
trp_prussian_blucher|Generalfeldmarschall Gebhard von Blucher
trp_prussian_blucher_pl|General
trp_russian_partizan|Partizani
trp_russian_partizan_pl|Partisan
trp_russian_opol|Sankt-Peterburzhskoye Opolcheniye
trp_russian_opol_pl|Miliz
trp_russian_opol_nco|St Petersburg Opolcheniye
trp_russian_opol_nco_pl|Unteroffizier
trp_russian_opol_officer|St Petersburg Opolcheniye
trp_russian_opol_officer_pl|Offizier
trp_russian_infantry|Simbirskiy Pehotniy Polk
trp_russian_infantry_pl|Linieninfanterie
trp_russian_infantry_nco|Simbirsk Infantry Regiment
trp_russian_infantry_nco_pl|Unteroffizier
trp_russian_infantry_officer|Simbirsk Infantry Regiment
trp_russian_infantry_officer_pl|Offizier
trp_russian_infantry_drum|Simbirsk Infantry Regiment
trp_russian_infantry_drum_pl|Trommler
trp_russian_infantry_flute|Simbirsk Infantry Regiment
trp_russian_infantry_flute_pl|Flötenspieler
trp_russian_grenadier|Pavlovskiy Grenaderskiy Polk
trp_russian_grenadier_pl|Linieninfanterie
trp_russian_grenadier_nco|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_nco_pl|Unteroffizier
trp_russian_grenadier_officer|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_officer_pl|Offizier
trp_russian_grenadier_drum|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_drum_pl|Trommler
trp_russian_grenadier_flute|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_flute_pl|Flötenspieler
trp_russian_foot_guard|Leib-Gvardii Preobrazhenskiy Polk
trp_russian_foot_guard_pl|Garde zu Fuss
trp_russian_foot_guard_nco|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_nco_pl|Unteroffizier
trp_russian_foot_guard_officer|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_officer_pl|Offizier
trp_russian_foot_guard_drum|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_drum_pl|Trommler
trp_russian_foot_guard_flute|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_flute_pl|Flötenspieler
trp_russian_infantry_rifle|21-y Yegerskiy Polk
trp_russian_infantry_rifle_pl|Jäger
trp_russian_infantry_rifle_nco|21st Jaeger Regiment
trp_russian_infantry_rifle_nco_pl|Unteroffizier
trp_russian_infantry_rifle_officer|21st Jaeger Regiment
trp_russian_infantry_rifle_officer_pl|Offizier
trp_russian_infantry_rifle_horn|21st Jaeger Regiment
trp_russian_infantry_rifle_horn_pl|Hornist
trp_russian_hussar|Sumskoy Gusarskiy Polk
trp_russian_hussar_pl|Husar
trp_russian_hussar_nco|Sumskiy Husar Regiment
trp_russian_hussar_nco_pl|Unteroffizier
trp_russian_hussar_officer|Sumskiy Husar Regiment
trp_russian_hussar_officer_pl|Offizier
trp_russian_hussar_trumpet|Sumskiy Husar Regiment
trp_russian_hussar_trumpet_pl|Trompetenspieler
trp_russian_uhlan|Litovskiy Ulanskiy Polk
trp_russian_uhlan_pl|Lanzenreiter
trp_russian_uhlan_nco|Lithuanian Uhlans
trp_russian_uhlan_nco_pl|Unteroffizier
trp_russian_uhlan_officer|Lithuanian Uhlans
trp_russian_uhlan_officer_pl|Officer
trp_russian_uhlan_trumpet|Lithuanian Uhlans
trp_russian_uhlan_trumpet_pl|Trumpeter
trp_russian_cossack|Donskoy Kazachiy Polk
trp_russian_cossack_pl|Lanzenreiter
trp_russian_cossack_nco|Don Cossacks
trp_russian_cossack_nco_pl|Unteroffizier
trp_russian_cossack_officer|Don Cossacks
trp_russian_cossack_officer_pl|Offizier
trp_russian_dragoon|Kievskiy Dragunskiy Polk
trp_russian_dragoon_pl|Dragoner
trp_russian_dragoon_nco|Kiev Dragoon Regiment
trp_russian_dragoon_nco_pl|Unteroffizier
trp_russian_dragoon_officer|Kiev Dragoon Regiment
trp_russian_dragoon_officer_pl|Offizier
trp_russian_dragoon_trumpet|Kiev Dragoon Regiment
trp_russian_dragoon_trumpet_pl|Trompetenspieler
trp_russian_horse_guard|Kavalergardskiy Polk
trp_russian_horse_guard_pl|Kürassiere
trp_russian_horse_guard_nco|Chevaliers-Gardes
trp_russian_horse_guard_nco_pl|Unteroffizier
trp_russian_horse_guard_officer|Chevaliers-Gardes
trp_russian_horse_guard_officer_pl|Offizier
trp_russian_horse_guard_trumpet|Chevaliers-Gardes
trp_russian_horse_guard_trumpet_pl|Trompetenspieler
trp_russian_arty|8-ya Batarejnaya Rota
trp_russian_arty_pl|Artillerie
trp_russian_arty_guard|Artillery Guard
trp_russian_arty_guard_pl|Artillery Guard
trp_russian_arty_nco|Artillerie
trp_russian_arty_nco_pl|Artillerie Zug
trp_russian_arty_officer|Artillerie
trp_russian_arty_officer_pl|Offizier
trp_russian_medic|Khirurg
trp_russian_medic_pl|Surgeon
trp_russian_sapper|Saper
trp_russian_sapper_pl|Pionier
trp_kutuzov|Feldmarshal Mikhail Kutuzov
trp_kutuzov_pl|General
trp_austrian_infantry|Infanterie Regiment Nr.14 Erzherzog Rudolf
trp_austrian_infantry_pl|Linieninfanterie
trp_austrian_infantry_nco|Infanterie Regiment Nr.14 Erzherzog Rudolf
trp_austrian_infantry_nco_pl|Unteroffizier
trp_austrian_infantry_officer|Infanterie Regiment Nr.14 Erzherzog Rudolf
trp_austrian_infantry_officer_pl|Offizier
trp_austrian_infantry_drum|Infanterie Regiment Nr.14 Erzherzog Rudolf
trp_austrian_infantry_drum_pl|Trommler
trp_austrian_infantry_flute|Infanterie Regiment Nr.14 Erzherzog Rudolf
trp_austrian_infantry_flute_pl|Flötenspieler
trp_austrian_infantry2|Infanterie Regiment Nr.62 Freiherr von Wacquant
trp_austrian_infantry2_pl|Linieninfanterie
trp_austrian_infantry2_nco|Infanterie Regiment Nr.62 Freiherr von Wacquant
trp_austrian_infantry2_nco_pl|Unteroffizier
trp_austrian_infantry2_officer|Infanterie Regiment Nr.62 Freiherr von Wacquant
trp_austrian_infantry2_officer_pl|Offizier
trp_austrian_infantry2_drum|Infanterie Regiment Nr.62 Freiherr von Wacquant
trp_austrian_infantry2_drum_pl|Trommler
trp_austrian_infantry2_flute|Infanterie Regiment Nr.62 Freiherr von Wacquant
trp_austrian_infantry2_flute_pl|Flötenspieler
trp_austrian_grenzer|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_pl|Line/Leichte Infanterie
trp_austrian_grenzer_nco|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_nco_pl|Unteroffizier
trp_austrian_grenzer_officer|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_officer_pl|Offizier
trp_austrian_grenzer_drum|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_drum_pl|Trommler
trp_austrian_grenzer_flute|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenzer_flute_pl|Flötenspieler
trp_austrian_grenadier|Grenadier Battalion Purcell
trp_austrian_grenadier_pl|Garde zu Fuss
trp_austrian_grenadier_nco|Grenadier Battalion Purcell
trp_austrian_grenadier_nco_pl|Unteroffizier
trp_austrian_grenadier_officer|Grenadier Battalion Purcell
trp_austrian_grenadier_officer_pl|Offizier
trp_austrian_grenadier_drum|Grenadier Battalion Purcell
trp_austrian_grenadier_drum_pl|Trommler
trp_austrian_grenadier_flute|Grenadier Battalion Purcell
trp_austrian_grenadier_flute_pl|Flötenspieler
trp_austrian_infantry_rifle|Jaeger Battalion 2
trp_austrian_infantry_rifle_pl|Jäger
trp_austrian_infantry_rifle_nco|Jaeger Battalion 2
trp_austrian_infantry_rifle_nco_pl|Unteroffizier
trp_austrian_infantry_rifle_officer|Jaeger Battalion 2
trp_austrian_infantry_rifle_officer_pl|Offizier
trp_austrian_infantry_rifle_horn|Jaeger Battalion 2
trp_austrian_infantry_rifle_horn_pl|Hornist
trp_austrian_hussar|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_pl|Husar
trp_austrian_hussar_nco|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_nco_pl|Unteroffizier
trp_austrian_hussar_officer|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_officer_pl|Offizier
trp_austrian_hussar_trumpet|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_hussar_trumpet_pl|Trompetenspieler
trp_austrian_uhlan|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_pl|Lanzenreiter
trp_austrian_uhlan_nco|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_nco_pl|Unteroffizier
trp_austrian_uhlan_officer|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_officer_pl|Offizier
trp_austrian_uhlan_trumpet|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_uhlan_trumpet_pl|Trompetenspieler
trp_austrian_light_horse|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_pl|Leichtes Kavallerie
trp_austrian_light_horse_nco|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_nco_pl|Unteroffizier
trp_austrian_light_horse_officer|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_officer_pl|Offizier
trp_austrian_light_horse_trumpet|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_light_horse_trumpet_pl|Trompetenspieler
trp_austrian_dragoon|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_pl|Dragoner
trp_austrian_dragoon_nco|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_nco_pl|Unteroffizier
trp_austrian_dragoon_officer|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_officer_pl|Offizier
trp_austrian_dragoon_trumpet|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_dragoon_trumpet_pl|Trompetenspieler
trp_austrian_cuirassier|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_pl|Kürassiere
trp_austrian_cuirassier_nco|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_nco_pl|Unteroffizier
trp_austrian_cuirassier_officer|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_officer_pl|Offizier
trp_austrian_cuirassier_trumpet|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_cuirassier_trumpet_pl|Trompetenspieler
trp_austrian_arty|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_pl|Artillerie
trp_austrian_arty_guard|Artillery Guard
trp_austrian_arty_guard_pl|Artillery Guard
trp_austrian_arty_nco|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_nco_pl|Artillerie Zug
trp_austrian_arty_officer|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_austrian_arty_officer_pl|Offizier
trp_austrian_medic|Sanitaeter
trp_austrian_medic_pl|Surgeon
trp_austrian_sapper|Pionier-Battalion Nr. 1
trp_austrian_sapper_pl|Pionier
trp_schwarzenberg|Karl Philipp, Furst zu Schwarzenberg
trp_schwarzenberg_pl|General
trp_rhine_infantry_bavaria|2. Infanterie-Regiment Kronprinz, Bayern 
trp_rhine_infantry_bavaria_pl|Linieninfanterie 
trp_rhine_infantry_bavaria_nco|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_nco_pl|Unteroffizier
trp_rhine_infantry_bavaria_officer|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_officer_pl|Offizier
trp_rhine_infantry_bavaria_drum|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_drum_pl|Drummer 
trp_rhine_infantry_bavaria_flute|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_flute_pl|Fifer 
trp_rhine_infantry_wurttemberg|Infanterie-Reg. Nr.2 Herzog Wilhelm, Württemberg 
trp_rhine_infantry_wurttemberg_pl|Linieninfanterie 
trp_rhine_infantry_wurttemberg_nco|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_nco_pl|Unteroffizier
trp_rhine_infantry_wurttemberg_officer|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_officer_pl|Offizier 
trp_rhine_infantry_wurttemberg_drum|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_drum_pl|Schlagzeuger 
trp_rhine_infantry_wurttemberg_flute|Württemberger Linieninfanterie 
trp_rhine_infantry_wurttemberg_flute_pl|Fifer 
trp_rhine_infantry_saxony|Infanterie-Regiment Prinz Friedrich August, Sachsen 
trp_rhine_infantry_saxony_pl|Linieninfanterie 
trp_rhine_infantry_saxony_nco|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_nco_pl|Unteroffizier
trp_rhine_infantry_saxony_officer|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_officer_pl|Offizier 
trp_rhine_infantry_saxony_drum|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_drum_pl|Schlagzeuger 
trp_rhine_infantry_saxony_flute|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_flute_pl|Fifer 
trp_rhine_infantry_wurttemberg2|Infanterie-Reg. No.4 von Franquemont, Württemberg 
trp_rhine_infantry_wurttemberg2_pl|Linieninfanterie 
trp_rhine_infantry_wurttemberg2_nco|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_nco_pl|Unteroffizier
trp_rhine_infantry_wurttemberg2_officer|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_officer_pl|Offizier 
trp_rhine_infantry_wurttemberg2_drum|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_drum_pl|Schlagzeuger 
trp_rhine_infantry_wurttemberg2_flute|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_flute_pl|Fifer 
trp_rhine_grenadier_guard|Grenadiere de la Garde, Westphalen 
trp_rhine_grenadier_guard_pl|Fußschutz 
trp_rhine_grenadier_guard_nco|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_nco_pl|Unteroffizier
trp_rhine_grenadier_guard_officer|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_officer_pl|Offizier 
trp_rhine_grenadier_guard_drum|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_drum_pl|Schlagzeuger 
trp_rhine_grenadier_guard_flute|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_flute_pl|Fifer 
trp_rhine_light_infantry_hessen|Infanterie-Reg. Groß- und Erbprinz, Hessen-Darmstadt 
trp_rhine_light_infantry_hessen_pl|Leichte Infanterie 
trp_rhine_light_infantry_hessen_nco|Hessische Leichte Infanterie 
trp_rhine_light_infantry_hessen_nco_pl|Unteroffizier
trp_rhine_light_infantry_hessen_officer|Hessische Leichte Infanterie 
trp_rhine_light_infantry_hessen_officer_pl|Offizier 
trp_rhine_light_infantry_hessen_horn|Hessische Leichte Infanterie 
trp_rhine_light_infantry_hessen_horn_pl|Hornist 
trp_rhine_light_infantry_bavaria|7. Leichtes Infanterie-Bataillon, Bayern 
trp_rhine_light_infantry_bavaria_pl|Leichte Infanterie / Kampfschütze 
trp_rhine_light_infantry_bavaria_nco|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_nco_pl|Unteroffizier
trp_rhine_light_infantry_bavaria_officer|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_officer_pl|Offizier 
trp_rhine_light_infantry_bavaria_horn|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_horn_pl|Hornist 
trp_rhine_mounted_jaeger|Reitende Jaeger, Nassau 
trp_rhine_mounted_jaeger_pl|Husar 
trp_rhine_mounted_jaeger_nco|Nassauer berittener Jäger 
trp_rhine_mounted_jaeger_nco_pl|Unteroffizier
trp_rhine_mounted_jaeger_officer|Nassauer Berittener Jäger 
trp_rhine_mounted_jaeger_officer_pl|Offizier 
trp_rhine_mounted_jaeger_trumpet|Nassauer berittener Jäger 
trp_rhine_mounted_jaeger_trumpet_pl|Trompeter 
trp_rhine_uhlan|Ulanen Regiment Prinz Clemens, Sachsen 
trp_rhine_uhlan_pl|Lancer 
trp_rhine_uhlan_nco|Sächsischer Ulan 
trp_rhine_uhlan_nco_pl|Unteroffizier
trp_rhine_uhlan_officer|Sächsischer Ulan 
trp_rhine_uhlan_officer_pl|Offizier 
trp_rhine_uhlan_trumpet|Sächsischer Ulan 
trp_rhine_uhlan_trumpet_pl|Trompeter 
trp_rhine_light_dragoon|Leichtes Dragoner-Regiment, Baden 
trp_rhine_light_dragoon_pl|Leichtes Pferd 
trp_rhine_light_dragoon_nco|Badner Leichter Dragoon 
trp_rhine_light_dragoon_nco_pl|Unteroffizier
trp_rhine_light_dragoon_officer|Badner Leichter Dragoon trp_rhine_light_dragoon_officer_pl|Offizier 
trp_rhine_light_dragoon_trumpet|Badner Leichter Dragoon 
trp_rhine_light_dragoon_trumpet_pl|Trompeter 
trp_rhine_cuirassier|1er Regiment de Cuirassiers, Westphalen 
trp_rhine_cuirassier_pl|Kürassier 
trp_rhine_cuirassier_nco|Westfälischer Kürassier 
trp_rhine_cuirassier_nco_pl|Unteroffizier 
trp_rhine_cuirassier_officer|Westfälischer Kürassier 
trp_rhine_cuirassier_officer_pl|Offizier 
trp_rhine_cuirassier_trumpet|Westfälischer Kürassier 
trp_rhine_cuirassier_trumpet_pl|Trompeter 
trp_rhine_garde_du_corps|Garde du Corp, Sachsen 
trp_rhine_garde_du_corps_pl|Schwere Kavallerie 
trp_rhine_garde_du_corps_nco|Sächsischer Pferdewächter 
trp_rhine_garde_du_corps_nco_pl|Unteroffizier
trp_rhine_garde_du_corps_officer|Saxon Horse Guard 
trp_rhine_garde_du_corps_officer_pl|Offizier 
trp_rhine_garde_du_corps_trumpet|Sächsische Pferdewache 
trp_rhine_garde_du_corps_trumpet_pl|Trompeter 
trp_rhine_arty|Artillerie-Regiment, Bayern 
trp_rhine_arty_pl|Artillerie 
trp_rhine_arty_guard|Artillerieschutz, Bayern 
trp_rhine_arty_guard_pl|Artillerieschutz 
trp_rhine_arty_nco|Bayerischer Artillerist 
trp_rhine_arty_nco_pl|Artilleriezug 
trp_rhine_arty_officer|Bayerischer Artillerist 
trp_rhine_arty_officer_pl|Offizier 
trp_rhine_medic|Medecin de 2e classe, Frankreich 
trp_rhine_medic_pl|Chirurg 
trp_rhine_sapper|Pioniere, Berg 
trp_rhine_sapper_pl|Ingenieur 
